Title: A Catalog of Morphologically Identified Merging Galaxies
Authors: Hwang C.-Y., Chang M.-Y.
Table: Catalog of Merging Galaxies
================================================================================
Byte-by-byte Description of file: apjs299963t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label  Explanations
--------------------------------------------------------------------------------
   1-  5 I5     ---    ID     Running identification number
   7-  8 I2     h      RAh    Hour of Right Ascension (J2000)
  10- 11 I2     min    RAm    Minute of Right Ascension (J2000)
  13- 16 F4.1   s      RAs    Second of Right Ascension (J2000)
      18 A1     ---    DE-    Sign of the Declination (J2000)
  19- 20 I2     deg    DEd    Degree of Declination (J2000)
  22- 23 I2     arcmin DEm    Arcminute of Declination (J2000)
  25- 28 F4.1   arcsec DEs    Arcsecond of Declination (J2000)
  30- 36 A7     ---    FName  Field name
  38- 39 A2     ---    Type   Merging type (1)
--------------------------------------------------------------------------------
Note (1):
    M = mergers;
   CP = close pairs;
   CM = close multiples.
--------------------------------------------------------------------------------
01254 00 52 44.9 +05 03 01.6 RCS0047 M
01255 00 52 44.9 -01 55 44.7 RCS0047 M
01256 00 52 45.1 +04 33 01.1 RCS0047 M
01257 00 52 45.9 -01 55 18.5 RCS0047 M
01258 00 52 46.3 -02 15 35.2 RCS0047 CP
01259 00 52 46.4 +00 48 11.8 RCS0047 M
01260 00 52 46.8 +00 58 18.1 RCS0047 M
01261 00 52 47.4 +04 44 57.8 RCS0047 M
01262 00 52 52.0 +04 30 12.3 RCS0047 M
01263 00 52 53.1 -02 49 40.4 RCS0047 M
01264 00 52 53.8 -03 27 03.5 RCS0047 M
01265 00 52 53.9 -03 28 45.1 RCS0047 M
01266 00 52 54.8 +00 58 51.1 RCS0047 M
01267 00 52 54.8 -03 38 32.1 RCS0047 M
01268 00 52 55.0 +01 17 57.7 RCS0047 M
01269 00 52 56.5 +01 50 34.3 RCS0047 M
01270 00 52 57.3 -01 44 44.6 RCS0047 M
01271 00 52 58.4 +00 48 51.4 RCS0047 M
01272 00 52 58.4 -03 21 26.6 RCS0047 M
01273 00 52 58.8 +02 10 14.1 RCS0047 M
01274 00 52 59.2 -02 34 06.4 RCS0047 M
01275 00 52 59.3 +01 13 28.2 RCS0047 M
01276 00 53 00.1 +01 19 35.0 RCS0047 M
01277 00 53 01.8 +01 25 13.9 RCS0047 M
01278 00 53 02.8 +04 17 49.4 RCS0047 M
01279 00 53 03.1 +01 45 37.2 RCS0047 M
01280 00 53 05.9 +02 05 14.0 RCS0047 M
01281 00 53 06.4 -02 54 04.7 RCS0047 M
01282 00 53 07.2 +01 44 48.5 RCS0047 M
01283 00 53 07.3 -02 01 19.2 RCS0047 M
01284 00 53 08.5 -02 36 34.7 RCS0047 M
01285 00 53 09.4 +00 28 54.9 RCS0047 M
01286 00 53 09.4 -03 39 35.5 RCS0047 M
01287 00 53 09.6 -01 58 03.9 RCS0047 M
01288 00 53 09.6 -03 39 13.9 RCS0047 M
01289 00 53 09.7 +01 05 27.9 RCS0047 M
01290 00 53 10.4 +04 41 28.0 RCS0047 M
01291 00 53 10.7 -02 30 43.2 RCS0047 M
01292 00 53 11.6 +04 59 35.0 RCS0047 M
01293 00 53 15.8 +04 36 52.6 RCS0047 M
01294 00 53 16.5 +04 25 55.3 RCS0047 M
01295 00 53 16.5 -02 12 54.9 RCS0047 M
01296 00 53 16.7 +01 08 02.6 RCS0047 M
01297 00 53 19.4 -00 16 02.6 RCS0047 M
01298 00 53 20.6 -00 29 15.6 RCS0047 M
01299 00 53 20.9 +04 54 31.0 RCS0047 M
01300 00 53 21.1 +01 45 23.7 RCS0047 M
01301 00 53 21.5 +01 07 41.4 RCS0047 M
01302 00 53 22.8 -02 37 31.3 RCS0047 M
01303 00 53 23.5 +01 57 32.6 RCS0047 M
01304 00 53 25.0 -02 37 37.1 RCS0047 M
01305 00 53 26.3 +04 49 27.3 RCS0047 M
01306 00 53 26.8 +05 10 32.8 RCS0047 M
01307 00 53 27.0 +00 03 09.9 RCS0047 M
01308 00 53 27.4 +04 47 56.3 RCS0047 M
01309 00 53 29.1 +01 50 48.6 RCS0047 M
01310 00 53 31.1 -02 12 29.2 RCS0047 M
01311 00 53 31.4 +02 02 03.7 RCS0047 M
01312 00 53 31.4 -02 08 48.7 RCS0047 M
01313 00 53 31.7 -02 23 37.3 RCS0047 M
01314 00 53 37.1 +02 06 56.2 RCS0047 M
01315 00 53 38.8 +02 10 58.8 RCS0047 M
01316 00 53 39.1 +02 14 09.3 RCS0047 M
01317 00 53 39.2 +05 09 15.9 RCS0047 M
01318 00 53 41.1 +00 40 55.4 RCS0047 M
01319 00 53 41.5 -02 08 41.9 RCS0047 M
01320 00 53 43.4 +00 21 20.1 RCS0047 M
01321 00 53 43.5 +00 46 37.1 RCS0047 M
01322 00 53 47.1 +01 57 38.8 RCS0047 M
01323 00 53 49.5 +00 12 05.0 RCS0047 M
01324 00 53 51.7 -02 35 36.0 RCS0047 M
01325 00 53 51.8 +02 03 52.7 RCS0047 M
01326 00 53 52.4 +00 40 58.0 RCS0047 M
01327 00 53 52.9 -02 32 12.9 RCS0047 M
01328 00 53 53.3 +01 55 06.8 RCS0047 M
01329 00 53 55.0 +00 55 51.0 RCS0047 M
01330 00 53 55.3 -00 04 01.7 RCS0047 M
01331 00 53 56.4 -02 17 02.9 RCS0047 M
01332 00 53 56.9 +04 29 00.7 RCS0047 M
01333 00 53 59.4 +00 03 20.0 RCS0047 M
01334 00 54 04.1 +01 49 15.7 RCS0047 M
01335 00 54 04.1 -02 01 02.2 RCS0047 M
01336 00 54 06.0 -00 19 12.6 RCS0047 M
01337 00 54 07.3 +04 25 38.3 RCS0047 M
01338 00 54 07.9 -02 14 15.2 RCS0047 M
01339 00 54 10.9 -02 33 28.2 RCS0047 CP
01340 00 54 11.8 -00 30 54.4 RCS0047 M
01341 00 54 12.2 +04 23 47.6 RCS0047 M
01342 00 54 15.6 +01 49 12.7 RCS0047 M
01343 00 54 15.9 -00 32 27.0 RCS0047 CP
01344 00 54 17.1 +00 25 19.8 RCS0047 M
01345 00 54 18.8 +00 34 27.4 RCS0047 M
01346 00 54 18.9 -00 01 36.1 RCS0047 M
01347 00 54 19.1 +00 16 21.0 RCS0047 M
01348 00 54 19.9 +01 49 14.1 RCS0047 M
01349 00 54 21.2 +00 05 18.2 RCS0047 M
01350 00 54 22.2 +02 07 22.8 RCS0047 M
01351 00 54 23.2 -02 40 14.3 RCS0047 M
01352 00 54 23.4 -00 10 13.7 RCS0047 M
01353 00 54 24.2 +02 11 03.1 RCS0047 M
01354 00 54 24.3 +01 02 09.9 RCS0047 M
01355 00 54 24.4 +00 02 49.7 RCS0047 M
01356 00 54 24.5 +04 44 21.0 RCS0047 M
01357 00 54 28.3 +00 11 00.2 RCS0047 M
01358 00 54 29.4 +04 45 39.5 RCS0047 M
01359 00 54 30.9 +04 55 57.1 RCS0047 M
01360 00 54 31.9 +01 59 02.9 RCS0047 M
01361 00 54 32.1 -02 14 11.5 RCS0047 M
01362 00 54 32.4 +01 51 15.7 RCS0047 M
01363 00 54 33.5 +05 10 01.0 RCS0047 M
01364 00 54 35.5 +04 20 20.7 RCS0047 M
01365 00 54 36.8 +00 42 16.5 RCS0047 CP
01366 00 54 37.4 -02 23 54.7 RCS0047 M
01367 00 54 40.4 -01 50 39.5 RCS0047 M
01368 00 54 41.9 +00 51 37.3 RCS0047 M
01369 00 54 45.9 -00 38 27.3 RCS0047 M
01370 00 54 46.3 +01 57 02.7 RCS0047 M
01371 00 54 47.4 +01 47 38.2 RCS0047 M
01372 00 54 48.2 +05 08 12.4 RCS0047 M
01373 00 54 48.2 +02 04 06.1 RCS0047 M
01374 00 54 51.8 +04 14 58.9 RCS0047 M
01375 00 54 52.6 +04 44 11.7 RCS0047 M
01376 00 54 55.7 -02 16 21.4 RCS0047 M
01377 00 54 57.0 +02 13 55.6 RCS0047 M
01378 00 54 58.2 +00 54 53.7 RCS0047 M
01379 00 54 58.2 -00 25 29.5 RCS0047 M
01380 00 54 58.4 -02 30 55.0 RCS0047 M
01381 00 54 59.2 -00 32 10.7 RCS0047 CP
01382 00 54 59.5 +02 05 40.6 RCS0047 M
01383 00 55 01.1 -01 59 10.8 RCS0047 M
01384 00 55 02.0 -00 10 12.7 RCS0047 M
01385 00 55 02.2 +01 45 32.0 RCS0047 M
01386 00 55 02.9 +05 05 41.6 RCS0047 M
01387 00 55 04.4 +01 54 39.3 RCS0047 M
01388 00 55 06.3 +00 16 16.6 RCS0047 M
01389 00 55 07.6 +01 36 38.7 RCS0047 M
01390 00 55 08.4 +00 12 17.3 RCS0047 CP
01391 00 55 13.6 +00 53 00.4 RCS0047 M
01392 00 55 14.6 -01 55 46.5 RCS0047 M
01393 00 55 15.3 +01 35 39.7 RCS0047 M
01394 00 55 15.8 +04 47 29.9 RCS0047 M
01395 00 55 16.8 +01 13 54.6 RCS0047 M
01396 00 55 17.8 +01 30 52.5 RCS0047 M
01397 00 55 18.2 +04 29 47.6 RCS0047 M
01398 00 55 18.3 -01 59 34.5 RCS0047 M
01399 00 55 20.4 -01 53 14.8 RCS0047 M
01400 00 55 21.7 +00 12 50.8 RCS0047 M
01401 00 55 24.0 +01 44 52.8 RCS0047 M
01402 00 55 27.1 +00 53 01.2 RCS0047 M
01403 00 55 27.4 +01 31 19.9 RCS0047 M
01404 00 55 27.4 -02 13 48.4 RCS0047 M
01405 00 55 28.7 -01 45 26.9 RCS0047 M
01406 00 55 29.3 -00 13 05.5 RCS0047 M
01407 00 55 32.2 -01 55 23.9 RCS0047 M
01408 00 55 34.0 +04 52 09.4 RCS0047 M
01409 00 55 34.4 -01 57 44.9 RCS0047 M
01410 00 55 35.8 -01 52 03.8 RCS0047 CP
01411 00 55 36.1 +01 57 14.2 RCS0047 M
01412 00 55 36.6 +05 07 12.5 RCS0047 M
01413 00 55 36.8 +01 50 53.3 RCS0047 M
01414 00 55 39.6 +00 18 11.0 RCS0047 M
01415 00 55 39.6 -01 59 30.6 RCS0047 M
01416 00 55 40.8 +04 22 31.4 RCS0047 M
01417 00 55 41.4 +04 40 05.2 RCS0047 CP
01418 00 55 41.6 +05 08 24.0 RCS0047 M
01419 00 55 46.5 +00 39 37.1 RCS0047 M
01420 00 55 47.6 +01 32 26.2 RCS0047 M
01421 00 55 47.8 +01 42 54.3 RCS0047 M
01422 00 55 48.4 +04 23 08.3 RCS0047 CP
01423 00 55 48.9 +00 29 40.1 RCS0047 M
01424 00 55 49.7 +05 08 29.9 RCS0047 M
01425 00 55 49.8 -02 17 45.6 RCS0047 M
01426 00 55 51.2 +00 57 10.0 RCS0047 M
01427 00 55 53.6 +05 08 10.5 RCS0047 CP
01428 00 55 54.4 +02 10 01.0 RCS0047 M
01429 00 55 56.9 -00 23 19.8 RCS0047 M
01430 00 55 57.8 +00 37 45.5 RCS0047 M
01431 00 55 59.1 -01 46 52.1 RCS0047 M
01432 00 55 59.3 +04 36 11.3 RCS0047 M
01433 00 55 59.6 -00 31 29.3 RCS0047 M
01434 00 56 00.4 +00 41 26.1 RCS0047 M
01435 00 56 00.7 -01 49 47.2 RCS0047 M
01436 00 56 01.7 +02 08 37.4 RCS0047 M
01437 00 56 03.7 +04 48 42.4 RCS0047 M
01438 00 56 04.2 -02 08 37.5 RCS0047 CP
01439 00 56 04.4 +04 46 16.2 RCS0047 M
01440 00 56 04.6 +04 19 56.3 RCS0047 M
01441 00 56 05.1 -00 40 03.1 RCS0047 M
01442 00 56 06.0 -01 53 02.9 RCS0047 M
01443 00 56 06.9 -02 01 10.6 RCS0047 M
01444 00 56 08.3 +00 17 57.2 RCS0047 M
01445 00 56 08.5 +05 03 27.8 RCS0047 M
01446 00 56 09.2 -00 07 19.4 RCS0047 M
01447 00 56 09.3 -02 06 15.9 RCS0047 M
01448 00 56 09.7 -02 00 41.1 RCS0047 M
01449 00 56 10.8 -02 23 43.2 RCS0047 M
01450 00 56 10.9 +04 55 39.1 RCS0047 M
01451 00 56 14.6 -02 10 35.7 RCS0047 M
01452 00 56 14.8 +00 52 01.0 RCS0047 M
01453 00 56 14.9 +01 33 32.0 RCS0047 M
01454 00 56 15.6 -00 20 46.3 RCS0047 M
01455 00 56 16.3 +01 38 03.9 RCS0047 M
01456 00 56 16.3 -00 01 06.7 RCS0047 CP
01457 00 56 17.0 +05 09 06.6 RCS0047 M
01458 00 56 17.2 +02 11 29.0 RCS0047 M
01459 00 56 18.6 -02 32 13.3 RCS0047 M
01460 00 56 20.4 -00 41 16.8 RCS0047 M
01461 00 56 20.7 +02 10 34.1 RCS0047 M
01462 00 56 20.8 +04 34 51.3 RCS0047 M
01463 00 56 21.7 -02 03 07.7 RCS0047 M
01464 00 56 22.1 +01 41 47.5 RCS0047 M
01465 00 56 22.1 +00 09 54.0 RCS0047 M
01466 00 56 22.6 +04 51 55.3 RCS0047 M
01467 00 56 25.0 +01 11 32.6 RCS0047 M
01468 00 56 26.2 +00 54 29.8 RCS0047 M
01469 00 56 28.7 -02 41 17.4 RCS0047 M
01470 00 56 29.3 +01 42 03.9 RCS0047 M
01471 00 56 31.6 -00 03 46.9 RCS0047 M
01472 00 56 31.7 +04 34 20.6 RCS0047 M
01473 00 56 31.8 +01 54 40.0 RCS0047 M
01474 00 56 32.5 +05 06 54.6 RCS0047 M
01475 00 56 36.5 +04 43 32.9 RCS0047 M
01476 00 56 41.4 +04 20 07.8 RCS0047 M
01477 00 56 45.1 +00 13 28.0 RCS0047 M
01478 00 56 45.8 +05 07 56.6 RCS0047 M
01479 00 56 46.5 +00 47 25.5 RCS0047 M
01480 00 56 46.7 +01 43 49.3 RCS0047 M
01481 00 56 46.8 +04 50 37.8 RCS0047 M
01482 00 56 47.3 -01 49 20.1 RCS0047 M
01483 00 56 47.4 -01 50 23.0 RCS0047 M
01484 00 56 47.5 -02 15 17.1 RCS0047 M
01485 00 56 47.8 -01 58 52.0 RCS0047 M
01486 00 56 48.0 +01 54 48.3 RCS0047 M
01487 00 56 50.5 -00 36 56.6 RCS0047 M
01488 00 56 52.9 -00 15 47.2 RCS0047 CP
01489 00 56 53.2 +02 06 16.4 RCS0047 M
01490 00 56 53.7 +01 43 53.3 RCS0047 M
01491 00 56 57.5 +01 58 55.3 RCS0047 M
01492 00 56 57.8 +01 10 33.0 RCS0047 M
01493 00 56 59.2 +01 38 31.5 RCS0047 M
01494 00 57 00.1 +01 37 50.6 RCS0047 M
01495 00 57 01.6 +05 06 07.4 RCS0047 M
01496 00 57 01.7 +01 04 58.6 RCS0047 CP
01497 00 57 02.0 -02 02 53.0 RCS0047 M
01498 00 57 02.5 -02 25 51.0 RCS0047 M
01499 00 57 04.3 +04 19 28.5 RCS0047 M
01500 00 57 04.8 -02 33 17.1 RCS0047 M
01501 00 57 04.9 +04 32 38.5 RCS0047 M
01502 00 57 07.2 +05 07 06.0 RCS0047 M
01503 00 57 10.0 +05 02 04.6 RCS0047 M
01504 00 57 13.4 -01 48 22.8 RCS0047 M
01505 00 57 16.0 -02 06 10.8 RCS0047 M
01506 00 57 19.6 -02 28 51.3 RCS0047 M
01507 00 57 20.1 -01 45 41.6 RCS0047 M
01508 00 57 20.9 -01 59 35.8 RCS0047 M
01509 00 57 30.9 +05 04 07.6 RCS0047 M
01510 00 57 33.6 -01 43 29.0 RCS0047 M
01511 00 57 35.9 +05 02 06.2 RCS0047 CP
01512 00 57 37.4 +04 51 55.9 RCS0047 M
01513 00 57 42.6 +04 37 06.0 RCS0047 M
01514 00 57 48.7 -02 38 20.3 RCS0047 M
01515 00 57 56.4 -02 17 58.2 RCS0047 M
01516 00 57 57.6 -01 55 12.1 RCS0047 M
01517 00 58 00.0 -02 23 33.7 RCS0047 CP
01518 00 58 00.9 -02 05 45.2 RCS0047 M
01519 00 58 02.8 +05 07 41.8 RCS0047 M
01520 00 58 04.4 +04 42 03.7 RCS0047 M
01521 00 58 06.0 -02 35 47.8 RCS0047 M
01522 00 58 06.6 +05 07 36.5 RCS0047 M
01523 00 58 10.2 +05 03 08.3 RCS0047 CP
01524 00 58 14.6 -02 22 37.9 RCS0047 M
01525 00 58 14.8 -02 04 06.8 RCS0047 M
01526 00 58 14.9 +05 05 46.1 RCS0047 M
01527 00 58 15.3 +04 32 50.1 RCS0047 CP
01528 00 58 16.5 -02 28 44.6 RCS0047 M
01529 00 58 22.0 +04 32 42.7 RCS0047 M
01530 00 58 24.1 -01 48 30.2 RCS0047 M
01531 00 58 25.5 -01 47 14.4 RCS0047 M
01532 00 58 28.9 -02 32 36.5 RCS0047 M
01533 00 58 31.0 +04 20 58.2 RCS0047 M
01534 00 58 33.5 -01 53 33.1 RCS0047 M
01535 00 58 34.7 +05 10 27.4 RCS0047 M
01536 00 58 35.0 -02 23 44.0 RCS0047 M
01537 00 58 35.0 -02 28 34.3 RCS0047 M
01538 00 58 36.4 +05 00 37.1 RCS0047 M
01539 00 58 40.2 -02 09 30.6 RCS0047 M
01540 00 58 46.9 -02 33 26.0 RCS0047 M
01541 00 58 51.8 -02 05 19.6 RCS0047 M
01542 00 58 52.5 -02 37 45.4 RCS0047 CP
01543 00 58 55.3 +04 18 13.8 RCS0047 M
01544 00 58 55.9 -01 43 48.7 RCS0047 M
01545 00 58 57.7 -02 21 50.7 RCS0047 M
01546 00 58 57.8 +04 41 23.4 RCS0047 CP
01547 00 58 58.4 -01 49 41.5 RCS0047 M
01548 00 58 59.3 +04 23 26.1 RCS0047 M
01549 00 59 01.3 +05 00 04.9 RCS0047 M
01550 00 59 02.4 -02 02 52.9 RCS0047 M
01551 00 59 08.9 +05 06 00.1 RCS0047 M
01552 00 59 13.5 -02 13 41.8 RCS0047 M
01553 00 59 16.1 -02 07 34.7 RCS0047 M
01554 00 59 17.0 +04 22 47.5 RCS0047 M
01555 00 59 20.7 -02 30 35.0 RCS0047 CP
01556 00 59 24.5 +05 06 25.7 RCS0047 M
01557 00 59 24.9 +05 03 03.3 RCS0047 M
01558 00 59 26.8 -01 54 04.6 RCS0047 M
01559 00 59 30.3 +04 14 46.0 RCS0047 M
01560 00 59 41.9 +04 32 54.6 RCS0047 M
01561 00 59 42.6 -01 44 45.2 RCS0047 M
01562 00 59 45.1 +04 50 58.8 RCS0047 CP
01563 00 59 49.9 -02 39 59.7 RCS0047 M
01564 00 59 51.0 -02 25 20.8 RCS0047 M
01565 00 59 51.1 +04 52 27.6 RCS0047 M
01566 00 59 52.9 +05 03 39.0 RCS0047 M
01567 00 59 53.7 -02 18 31.8 RCS0047 M
01568 00 59 56.2 -02 31 09.0 RCS0047 M
01569 00 59 58.4 -02 12 10.9 RCS0047 M
01570 00 59 59.2 -02 10 35.4 RCS0047 M
01571 01 00 07.9 +04 24 31.3 RCS0047 M
01572 01 00 08.5 -02 15 00.0 RCS0047 M
01573 01 00 09.3 -02 36 42.2 RCS0047 M
01574 01 00 09.5 -02 33 14.5 RCS0047 M
01575 01 00 15.5 +04 47 28.2 RCS0047 M
01576 01 00 16.6 -02 11 03.9 RCS0047 CP
01577 01 00 18.9 +04 53 12.1 RCS0047 M
01578 01 00 19.5 -02 14 30.8 RCS0047 M
01579 01 00 22.6 +04 48 04.7 RCS0047 M
01580 01 00 32.5 +05 02 23.7 RCS0047 M
01581 01 00 34.7 -02 37 00.3 RCS0047 M
01582 01 00 35.6 -02 37 13.0 RCS0047 M
01583 01 00 36.0 -02 01 06.9 RCS0047 M
01584 01 00 36.2 +04 20 55.4 RCS0047 M
01585 01 00 38.8 -02 11 11.2 RCS0047 M
01586 01 00 40.5 -02 19 10.6 RCS0047 M
01587 01 00 47.2 +04 49 00.4 RCS0047 CP
01588 01 00 50.6 +01 28 13.1 RCS0047 M
01589 01 00 51.8 +04 55 37.8 RCS0047 M
01590 01 00 52.2 +01 27 28.3 RCS0047 M
01591 01 00 53.4 +02 26 48.4 RCS0047 M
01592 01 00 54.2 +03 07 09.7 RCS0047 M
01593 01 00 54.3 +01 17 44.3 RCS0047 M
01594 01 00 55.1 +01 44 24.9 RCS0047 CP
01595 01 00 55.3 +04 30 47.4 RCS0047 CP
01596 01 00 56.3 +05 07 53.7 RCS0047 M
01597 01 00 58.9 +01 20 03.5 RCS0047 M
01598 01 01 00.1 +01 46 56.0 RCS0047 M
01599 01 01 01.3 +01 49 33.9 RCS0047 M
01600 01 01 01.7 +04 49 21.1 RCS0047 M
01601 01 01 01.7 +03 10 04.3 RCS0047 M
01602 01 01 02.0 +04 21 53.7 RCS0047 M
01603 01 01 02.3 +04 12 59.7 RCS0047 M
01604 01 01 02.3 +02 52 58.4 RCS0047 M
01605 01 01 02.4 +01 23 42.8 RCS0047 CP
01606 01 01 03.4 +02 07 57.7 RCS0047 M
01607 01 01 03.5 +04 26 17.1 RCS0047 M
01608 01 01 05.0 +01 16 14.2 RCS0047 M
01609 01 01 05.2 +04 40 12.1 RCS0047 M
01610 01 01 05.8 +04 44 00.7 RCS0047 M
01611 01 01 05.9 +02 12 51.8 RCS0047 M
01612 01 01 07.8 +01 32 19.6 RCS0047 M
01613 01 01 08.6 +02 46 02.5 RCS0047 M
01614 01 01 08.8 +01 36 54.0 RCS0047 M
01615 01 01 10.3 +04 32 05.6 RCS0047 CP
01616 01 01 11.3 +04 13 59.2 RCS0047 M
01617 01 01 11.6 +01 18 17.8 RCS0047 M
01618 01 01 11.9 +04 24 11.9 RCS0047 M
01619 01 01 12.9 +01 42 00.8 RCS0047 M
01620 01 01 18.3 +01 37 04.6 RCS0047 M
01621 01 01 18.7 +02 07 30.3 RCS0047 CP
01622 01 01 21.0 +04 18 12.1 RCS0047 CP
01623 01 01 21.9 +02 07 59.1 RCS0047 M
01624 01 01 22.6 +03 01 05.3 RCS0047 M
01625 01 01 23.3 +01 39 47.1 RCS0047 M
01626 01 01 24.3 +01 24 44.5 RCS0047 M
01627 01 01 24.9 +02 03 39.8 RCS0047 M
01628 01 01 25.9 +04 48 48.1 RCS0047 M
01629 01 01 26.4 +03 05 54.8 RCS0047 M
01630 01 01 27.9 +02 07 40.0 RCS0047 M
01631 01 01 29.0 +02 13 32.9 RCS0047 M
01632 01 01 30.0 +02 07 17.7 RCS0047 M
01633 01 01 30.7 +04 38 58.5 RCS0047 M
01634 01 01 31.3 +03 12 34.9 RCS0047 M
01635 01 01 32.2 +02 36 39.4 RCS0047 M
01636 01 01 32.6 +05 09 31.4 RCS0047 M
01637 01 01 36.4 +02 23 48.8 RCS0047 M
01638 01 01 36.5 +02 01 56.7 RCS0047 M
01639 01 01 37.9 +02 17 52.3 RCS0047 M
01640 01 01 39.1 +04 21 31.6 RCS0047 M
01641 01 01 39.2 +01 34 38.0 RCS0047 M
01642 01 01 46.3 +01 35 30.1 RCS0047 M
01643 01 01 46.4 +01 53 30.2 RCS0047 CP
01644 01 01 46.9 +02 18 08.5 RCS0047 M
01645 01 01 49.4 +01 27 30.4 RCS0047 M
01646 01 01 49.6 +02 33 50.4 RCS0047 CP
01647 01 01 50.5 +01 27 50.6 RCS0047 M
01648 01 01 50.7 +02 55 15.0 RCS0047 M
01649 01 01 51.1 +02 04 21.5 RCS0047 M
01650 01 01 51.2 +01 16 42.7 RCS0047 M
01651 01 01 51.7 +01 27 31.8 RCS0047 M
01652 01 01 51.8 +01 31 24.3 RCS0047 M
01653 01 01 52.3 +04 26 36.3 RCS0047 CP
01654 01 01 52.6 +01 55 37.4 RCS0047 M
01655 01 01 55.3 +01 49 39.2 RCS0047 M
01656 01 01 55.4 +04 18 29.6 RCS0047 M
01657 01 01 55.5 +01 34 20.1 RCS0047 M
01658 01 01 56.2 +04 49 47.5 RCS0047 CP
01659 01 01 58.7 +01 45 56.6 RCS0047 CP
01660 01 01 59.8 +01 39 41.5 RCS0047 M
01661 01 02 01.6 +01 34 45.3 RCS0047 M
01662 01 02 02.8 +02 47 51.2 RCS0047 M
01663 01 02 02.8 +02 27 29.0 RCS0047 M
01664 01 02 03.4 +04 51 06.1 RCS0047 M
01665 01 02 03.7 +01 16 48.1 RCS0047 M
01666 01 02 04.4 +02 16 27.3 RCS0047 M
01667 01 02 05.0 +04 36 31.4 RCS0047 M
01668 01 02 06.3 +02 47 52.8 RCS0047 M
01669 01 02 11.4 +04 25 16.3 RCS0047 M
01670 01 02 12.2 +04 15 04.4 RCS0047 M
01671 01 02 12.2 +01 54 10.8 RCS0047 M
01672 01 02 12.5 +01 40 13.7 RCS0047 M
01673 01 02 14.1 +01 26 07.6 RCS0047 M
01674 01 02 17.6 +02 21 45.7 RCS0047 M
01675 01 02 17.6 +01 31 00.9 RCS0047 M
01676 01 02 19.1 +02 08 15.2 RCS0047 M
01677 01 02 19.2 +02 48 04.8 RCS0047 M
01678 01 02 20.2 +01 37 30.5 RCS0047 M
01679 01 02 21.5 +02 08 39.7 RCS0047 M
01680 01 02 21.8 +01 24 56.7 RCS0047 M
01681 01 02 24.1 +04 33 49.4 RCS0047 M
01682 01 02 25.7 +02 23 42.5 RCS0047 M
01683 01 02 26.0 +01 49 56.9 RCS0047 M
01684 01 02 26.0 +01 26 54.8 RCS0047 M
01685 01 02 26.1 +01 42 47.2 RCS0047 M
01686 01 02 27.5 +04 49 55.5 RCS0047 M
01687 01 02 28.3 +05 10 00.7 RCS0047 M
01688 01 02 29.4 +04 31 37.5 RCS0047 M
01689 01 02 31.5 +01 51 02.4 RCS0047 M
01690 01 02 32.1 +01 46 50.8 RCS0047 M
01691 01 02 35.9 +01 41 28.5 RCS0047 M
01692 01 02 36.7 +05 10 25.3 RCS0047 M
01693 01 02 39.0 +02 07 11.0 RCS0047 M
01694 01 02 40.2 +01 34 38.4 RCS0047 M
01695 01 02 43.6 +03 09 42.2 RCS0047 CP
01696 01 02 44.0 +01 38 37.3 RCS0047 M
01697 01 02 44.4 +01 25 32.2 RCS0047 CP
01698 01 02 45.4 +04 25 54.8 RCS0047 M
01699 01 02 46.2 +01 17 46.6 RCS0047 M
01700 01 02 47.1 +04 21 48.2 RCS0047 M
01701 01 02 47.8 +01 51 39.5 RCS0047 M
01702 01 02 48.0 +05 02 59.6 RCS0047 M
01703 01 02 48.2 +01 37 21.0 RCS0047 M
01704 01 02 52.4 +01 50 22.7 RCS0047 M
01705 01 02 54.8 +01 42 58.7 RCS0047 M
01706 01 02 55.8 +04 35 33.1 RCS0047 M
01707 01 02 55.9 +04 25 46.2 RCS0047 M
01708 01 02 56.3 +01 45 23.3 RCS0047 CP
01709 01 02 56.4 +02 37 22.5 RCS0047 M
01710 01 02 56.9 +04 54 34.4 RCS0047 M
01711 01 02 57.2 +02 11 14.6 RCS0047 M
01712 01 02 58.3 +02 05 07.0 RCS0047 M
01713 01 03 06.1 +04 41 08.9 RCS0047 M
01714 01 03 06.7 +02 11 59.9 RCS0047 M
01715 01 03 07.6 +05 08 26.1 RCS0047 CP
01716 01 03 07.6 +02 04 50.9 RCS0047 M
01717 01 03 08.5 +04 34 21.1 RCS0047 M
01718 01 03 09.4 +04 15 15.1 RCS0047 M
01719 01 03 12.9 +01 19 21.1 RCS0047 M
01720 01 03 16.5 +01 24 30.3 RCS0047 M
01721 01 03 16.8 +01 54 15.7 RCS0047 M
01722 01 03 18.2 +05 04 12.4 RCS0047 M
01723 01 03 18.4 +04 42 22.5 RCS0047 M
01724 01 03 18.8 +01 51 50.0 RCS0047 M
01725 01 03 20.2 +01 54 41.4 RCS0047 M
01726 01 03 22.4 +01 45 47.6 RCS0047 M
01727 01 03 23.9 +01 31 32.6 RCS0047 M
01728 01 03 24.4 +01 50 53.6 RCS0047 M
01729 01 03 28.8 +02 14 50.6 RCS0047 CP
01730 01 03 29.3 +01 34 16.3 RCS0047 M
01731 01 03 30.7 +01 39 20.4 RCS0047 M
01732 01 03 32.7 +02 05 00.7 RCS0047 M
01733 01 03 33.4 +04 22 32.1 RCS0047 M
