Title: A Catalog of Morphologically Identified Merging Galaxies
Authors: Hwang C.-Y., Chang M.-Y.
Table: Catalog of Merging Galaxies
================================================================================
Byte-by-byte Description of file: apjs299963t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label  Explanations
--------------------------------------------------------------------------------
   1-  5 I5     ---    ID     Running identification number
   7-  8 I2     h      RAh    Hour of Right Ascension (J2000)
  10- 11 I2     min    RAm    Minute of Right Ascension (J2000)
  13- 16 F4.1   s      RAs    Second of Right Ascension (J2000)
      18 A1     ---    DE-    Sign of the Declination (J2000)
  19- 20 I2     deg    DEd    Degree of Declination (J2000)
  22- 23 I2     arcmin DEm    Arcminute of Declination (J2000)
  25- 28 F4.1   arcsec DEs    Arcsecond of Declination (J2000)
  30- 36 A7     ---    FName  Field name
  38- 39 A2     ---    Type   Merging type (1)
--------------------------------------------------------------------------------
Note (1):
    M = mergers;
   CP = close pairs;
   CM = close multiples.
--------------------------------------------------------------------------------
00097 00 32 50.3 +02 24 38.1 RCS0047 M
00098 00 32 50.3 -03 37 24.4 RCS0047 M
00099 00 32 50.6 +02 09 29.9 RCS0047 M
00100 00 32 50.7 +02 28 59.2 RCS0047 M
00101 00 32 52.5 +02 26 08.6 RCS0047 M
00102 00 32 53.4 +02 44 29.9 RCS0047 M
00103 00 32 53.8 +02 21 16.2 RCS0047 M
00104 00 32 55.0 -02 03 48.6 RCS0047 M
00105 00 32 55.1 +03 29 20.7 RCS0047 M
00106 00 33 00.6 +02 16 04.4 RCS0047 M
00107 00 33 02.4 +02 23 41.1 RCS0047 M
00108 00 33 02.7 -02 41 39.2 RCS0047 M
00109 00 33 07.0 -01 46 04.3 RCS0047 M
00110 00 33 13.6 +03 52 02.4 RCS0047 M
00111 00 33 15.1 -01 39 41.3 RCS0047 M
00112 00 33 15.7 +02 07 41.6 RCS0047 M
00113 00 33 18.2 -02 32 47.0 RCS0047 M
00114 00 33 18.8 +02 02 04.9 RCS0047 M
00115 00 33 20.6 +02 27 33.4 RCS0047 M
00116 00 33 20.9 +02 48 56.6 RCS0047 M
00117 00 33 25.0 -01 30 45.0 RCS0047 M
00118 00 33 28.1 +03 10 16.0 RCS0047 M
00119 00 33 28.4 -01 50 57.6 RCS0047 M
00120 00 33 29.9 +01 58 19.7 RCS0047 M
00121 00 33 30.1 +03 10 08.3 RCS0047 M
00122 00 33 31.5 -02 17 53.5 RCS0047 M
00123 00 33 33.7 -01 36 42.0 RCS0047 M
00124 00 33 34.1 -02 12 36.7 RCS0047 M
00125 00 33 36.5 -02 42 21.4 RCS0047 M
00126 00 33 37.2 -02 49 01.9 RCS0047 M
00127 00 33 37.9 +03 24 47.8 RCS0047 M
00128 00 33 41.7 -02 17 25.4 RCS0047 M
00129 00 33 42.4 +02 01 42.6 RCS0047 M
00130 00 33 45.1 +03 33 46.5 RCS0047 M
00131 00 33 46.5 +03 02 40.2 RCS0047 CP
00132 00 33 47.2 +03 05 04.9 RCS0047 CM
00133 00 33 48.1 +02 46 28.6 RCS0047 M
00134 00 33 49.8 +02 47 41.9 RCS0047 M
00135 00 33 50.8 +03 39 34.9 RCS0047 M
00136 00 33 53.7 +02 38 04.3 RCS0047 M
00137 00 33 54.7 -03 38 22.6 RCS0047 M
00138 00 33 54.8 +02 02 49.1 RCS0047 M
00139 00 33 54.9 -01 42 01.4 RCS0047 M
00140 00 33 55.1 +03 44 59.1 RCS0047 M
00141 00 33 55.7 +04 48 51.1 RCS0047 M
00142 00 33 56.3 -02 26 21.5 RCS0047 M
00143 00 33 57.4 -01 11 14.1 RCS0047 M
00144 00 33 57.9 +01 41 55.6 RCS0047 M
00145 00 33 58.3 -02 58 58.7 RCS0047 M
00146 00 33 58.4 +02 49 26.9 RCS0047 M
00147 00 33 58.9 +03 30 00.8 RCS0047 M
00148 00 34 02.9 +05 05 03.6 RCS0047 M
00149 00 34 05.0 +01 48 08.9 RCS0047 M
00150 00 34 06.8 +03 32 17.1 RCS0047 M
00151 00 34 07.4 +02 19 11.5 RCS0047 M
00152 00 34 08.3 +02 13 57.4 RCS0047 M
00153 00 34 08.4 -03 23 42.1 RCS0047 M
00154 00 34 08.5 +02 44 48.4 RCS0047 CP
00155 00 34 10.6 +01 57 29.2 RCS0047 M
00156 00 34 11.7 -02 09 16.5 RCS0047 CP
00157 00 34 13.0 -03 05 20.8 RCS0047 M
00158 00 34 13.9 +02 13 06.9 RCS0047 M
00159 00 34 14.2 -02 08 21.9 RCS0047 M
00160 00 34 15.0 -02 58 29.5 RCS0047 CP
00161 00 34 15.4 +03 32 20.7 RCS0047 M
00162 00 34 15.6 +01 55 09.9 RCS0047 M
00163 00 34 16.3 +03 04 14.4 RCS0047 M
00164 00 34 17.0 -02 57 55.8 RCS0047 M
00165 00 34 17.8 -02 02 52.7 RCS0047 M
00166 00 34 25.0 +01 57 59.1 RCS0047 M
00167 00 34 25.6 +02 18 02.9 RCS0047 M
00168 00 34 26.6 +04 50 19.0 RCS0047 M
00169 00 34 27.5 +02 36 00.6 RCS0047 M
00170 00 34 28.2 +02 03 36.0 RCS0047 M
00171 00 34 28.3 +02 54 41.2 RCS0047 M
00172 00 34 32.8 +03 12 57.0 RCS0047 M
00173 00 34 33.3 -01 51 02.2 RCS0047 M
00174 00 34 34.1 -03 01 00.5 RCS0047 M
00175 00 34 35.9 +03 59 19.2 RCS0047 M
00176 00 34 38.3 -03 37 03.8 RCS0047 M
00177 00 34 38.6 -02 43 46.9 RCS0047 M
00178 00 34 40.1 +04 23 03.2 RCS0047 M
00179 00 34 41.1 -03 40 42.5 RCS0047 M
00180 00 34 44.5 -01 15 01.0 RCS0047 M
00181 00 34 50.8 +02 23 20.8 RCS0047 M
00182 00 34 50.9 +03 05 10.9 RCS0047 CP
00183 00 34 51.0 +02 21 20.9 RCS0047 M
00184 00 34 52.7 -01 34 33.3 RCS0047 M
00185 00 34 53.3 +01 38 17.3 RCS0047 M
00186 00 34 56.0 -03 02 14.7 RCS0047 M
00187 00 34 56.9 +02 53 44.0 RCS0047 CP
00188 00 34 57.4 -01 07 44.6 RCS0047 M
00189 00 34 57.6 -02 45 04.6 RCS0047 M
00190 00 34 58.0 +02 33 48.3 RCS0047 M
00191 00 34 58.0 +01 28 18.2 RCS0047 M
00192 00 34 59.6 -01 58 14.5 RCS0047 M
00193 00 34 59.6 -02 41 42.4 RCS0047 M
00194 00 34 59.7 +04 35 59.7 RCS0047 M
00195 00 35 01.3 +03 05 13.3 RCS0047 M
00196 00 35 03.1 -02 42 52.9 RCS0047 M
