          main_id          |flux|        ra        |         dec         |  otype   
"[VV2006] J210240.2+601510"            |0.0  |315.6675799531251 |60.25273238477777 |-14680064 
"NDWFS J142922.8+351219"               |0.0  |217.34524999999994|35.20525000000001 |-16777216 
"Bol D312"                             |0.0  |11.872791666666666|40.037388888888884|-268435456
"2MASX J00480905+3930018"              |0.0  |12.0378282828969  |39.500664982457   |-268435456
"6C 051007+555837"                     |0.0  |78.57791507754166 |56.036403936944446|-14680064 
"ICRF J065422.0+504223"                |0.0  |103.59205484608334|50.70663151402778 |-14680064 
"SDSS J122629.46+480710.7"             |0.0  |186.622786        |48.119648         |-233832448
"[BAB2009] F"                          |0.12 |116.724875        |39.01840277777777 |-251658240
"[BAB2009] F"                          |0.143|116.724875        |39.01840277777777 |-251658240
"[BAB2009] F"                          |0.173|116.724875        |39.01840277777777 |-251658240
"[BAB2009] F"                          |0.309|116.724875        |39.01840277777777 |-251658240
"[BAB2009] C"                          |0.323|116.72591666666666|39.00590277777778 |-251658240
"[BAB2009] C"                          |0.36 |116.72591666666666|39.00590277777778 |-251658240
"[BAB2009] C"                          |0.444|116.72591666666666|39.00590277777778 |-251658240
"[BAB2009] A"                          |0.504|116.74254166666667|39.01423333333334 |-251658240
"[BAB2009] A"                          |0.544|116.74254166666667|39.01423333333334 |-251658240
"[BAB2009] A"                          |0.587|116.74254166666667|39.01423333333334 |-251658240
"[BAB2009] D"                          |0.632|116.72216666666665|39.005069444444445|-251658240
"[BAB2009] G"                          |0.636|116.72591666666666|39.02173611111111 |-251658240
"[BAB2009] C"                          |0.644|116.72591666666666|39.00590277777778 |-251658240
"LEDA 3129223"                         |0.754|116.721172        |39.014588         |-251658240
"[BAB2009] D"                          |0.755|116.72216666666665|39.005069444444445|-251658240
"[BAB2009] A"                          |0.761|116.74254166666667|39.01423333333334 |-251658240
"[CHM2007] LDC   31 J004244.33+4116074"|0.8  |10.68458333333333 |41.268611111111106|-218103808
