Name
UGC10492
UGC3104
UGC439
UGC12479
UGC965
UGC991
UGC8820
UGC1052
UGC3170
UGC1092
UGC7545
UGC1727
UGC2343
UGC1713
UGC72
UGC5985
UGC3226
UGC2600
UGC12174
UGC6200
UGC12637
UGC12348
UGC11628
UGC8391
UGC10081
UGC4492
UGC6180
UGC2292
UGC2147
UGC12220
UGC7833
UGC12225
UGC2158
UGC2152
UGC9960
UGC7021
UGC8021
UGC10268
UGC12349
UGC382
UGC6373
UGC3213
UGC10184
UGC5525
UGC7036
UGC6351
UGC9863
UGC7804
UGC8857
